STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Total crimes
ODISHA,ROURKELA,2011,26,19,1,63,6,31,146
ODISHA,SAMBALPUR,2011,30,12,2,48,2,29,123
ODISHA,SONEPUR,2011,10,4,3,48,1,9,75
ODISHA,SRP(CUTTACK),2011,0,0,0,8,1,0,9
ODISHA,SRP(ROURKELA),2011,1,0,1,9,1,3,15
ODISHA,SUNDARGARH,2011,25,12,5,66,2,7,117
ODISHA,TOTAL,2011,1112,1008,465,3207,235,2320,8347
PUNJAB,AMRITSAR,2011,16,20,1,16,0,58,111
PUNJAB,BARNALA,2011,5,5,3,6,0,10,29
PUNJAB,BATALA,2011,13,14,4,8,0,35,74
PUNJAB,BHATINDA,2011,37,20,5,11,1,49,123
PUNJAB,CP AMRITSAR,2011,20,34,4,7,1,101,167
PUNJAB,CP JALANDHAR,2011,15,40,4,19,3,74,155
PUNJAB,CP LUDHIANA,2011,48,76,14,25,12,109,284
PUNJAB,FARIDKOT,2011,8,6,1,10,0,20,45
PUNJAB,FATEHGARH SAHIB,2011,4,8,4,4,1,21,42
PUNJAB,FAZILKA,2011,21,17,3,5,0,29,75
PUNJAB,FEROZPUR,2011,20,25,6,9,0,53,113
PUNJAB,G.R.P,2011,0,0,0,0,0,0,0
PUNJAB,GURDASPUR,2011,12,22,6,17,0,38,95
PUNJAB,HOSHIARPUR,2011,28,23,11,13,2,72,149
PUNJAB,JALANDHAR,2011,31,26,6,22,0,57,142
PUNJAB,KAPURTHALA,2011,16,17,2,10,0,39,84
PUNJAB,KHANNA,2011,7,8,1,6,0,10,32
PUNJAB,LUDHIANA,2011,8,10,4,4,4,22,52
PUNJAB,MANSA,2011,14,5,4,5,0,13,41
PUNJAB,MOGA,2011,12,12,5,3,0,26,58
PUNJAB,MUKTSAR,2011,17,14,7,8,0,16,62
PUNJAB,PATHANKOT,2011,10,12,5,2,0,21,50
PUNJAB,PATIALA,2011,25,26,13,22,0,95,181
PUNJAB,ROPAR,2011,14,16,5,9,1,18,63
PUNJAB,SANGRUR,2011,30,11,14,10,0,36,101
PUNJAB,SAS NGR,2011,24,27,4,13,3,76,147
PUNJAB,SBS NAGAR,2011,8,6,4,6,3,14,41
PUNJAB,TARN TARAN,2011,16,17,3,12,0,24,72
PUNJAB,TOTAL,2011,479,517,143,282,31,1136,2588
RAJASTHAN,AJMER,2011,70,108,15,105,0,709,1007
RAJASTHAN,ALWAR,2011,99,143,53,136,0,556,987
RAJASTHAN,BANSWARA,2011,55,95,6,59,2,190,407
RAJASTHAN,BARAN,2011,60,88,10,158,1,351,668
RAJASTHAN,BARMER,2011,21,34,27,36,0,201,319
RAJASTHAN,BHARATPUR,2011,69,139,29,85,0,478,800
RAJASTHAN,BHILWARA,2011,52,74,16,90,0,558,790
RAJASTHAN,BIKANER,2011,55,25,17,54,0,446,597
RAJASTHAN,BUNDI,2011,40,99,6,114,0,298,557
RAJASTHAN,CHITTORGARH,2011,50,98,4,48,1,588,789
RAJASTHAN,CHURU,2011,37,26,10,11,0,342,426
RAJASTHAN,DAUSA,2011,13,72,12,17,0,184,298
RAJASTHAN,DHOLPUR,2011,32,64,19,12,0,197,324
RAJASTHAN,DUNGARPUR,2011,39,87,5,57,0,134,322
RAJASTHAN,G.R.P.AJMER,2011,2,6,0,9,0,0,17
RAJASTHAN,G.R.P.JODHPUR,2011,0,1,0,7,0,0,8
RAJASTHAN,GANGANAGAR,2011,99,68,19,73,1,653,913
RAJASTHAN,HANUMANGARH,2011,82,38,12,66,0,405,603
RAJASTHAN,JAIPUR EAST,2011,31,69,15,59,0,272,446
RAJASTHAN,JAIPUR NORTH,2011,20,38,8,23,0,241,330
RAJASTHAN,JAIPUR RURAL,2011,37,75,15,37,0,213,377
RAJASTHAN,JAIPUR SOUTH,2011,18,47,6,18,0,215,304
RAJASTHAN,JAIPUR WEST,2011,23,72,10,25,0,208,338
RAJASTHAN,JAISALMER,2011,4,5,5,17,0,20,51
RAJASTHAN,JALORE,2011,22,47,14,24,0,154,261
RAJASTHAN,JHALAWAR,2011,67,55,14,201,3,385,725
RAJASTHAN,JHUNJHUNU,2011,51,59,21,68,0,284,483
RAJASTHAN,JODHPUR CITY,2011,33,45,13,57,1,338,487
RAJASTHAN,JODHPUR RURAL,2011,26,35,17,28,0,133,239
RAJASTHAN,KARAULI,2011,38,78,18,18,0,174,326
RAJASTHAN,KOTA CITY,2011,24,74,5,58,0,413,574
RAJASTHAN,KOTA RURAL,2011,44,50,5,98,0,235,432
RAJASTHAN,NAGAUR,2011,70,60,14,66,0,398,608
RAJASTHAN,PALI,2011,64,88,11,84,0,451,698
RAJASTHAN,PRATAPGARH,2011,103,77,7,65,0,212,464
RAJASTHAN,RAJSAMAND,2011,14,44,2,61,0,234,355
RAJASTHAN,SAWAI MADHOPUR,2011,24,72,4,43,0,201,344
RAJASTHAN,SIKAR,2011,50,69,26,11,0,232,388
RAJASTHAN,SIROHI,2011,27,52,5,76,0,156,316
RAJASTHAN,TONK,2011,25,75,5,23,0,315,443
RAJASTHAN,UDAIPUR,2011,110,162,14,150,0,444,880
RAJASTHAN,TOTAL,2011,1800,2713,514,2447,9,12218,19701
SIKKIM,EAST,2011,7,5,0,6,0,2,20
SIKKIM,NORTH,2011,0,0,0,1,0,0,1
SIKKIM,SOUTH,2011,4,4,0,11,0,1,20
SIKKIM,WEST,2011,5,1,0,6,0,1,13
SIKKIM,TOTAL,2011,16,10,0,24,0,4,54
TAMIL NADU,ARIYALUR,2011,16,17,1,47,3,15,99
TAMIL NADU,CHENNAI,2011,76,41,20,73,121,229,560
TAMIL NADU,CHENNAI RLY.,2011,0,1,1,6,5,0,13
TAMIL NADU,COIMBATORE RURAL,2011,5,29,1,43,0,50,128
TAMIL NADU,COIMBATORE URBAN,2011,9,10,2,32,5,83,141
TAMIL NADU,CUDDALORE,2011,30,102,16,12,0,57,217
TAMIL NADU,DHARMAPURI,2011,14,61,0,44,0,53,172
TAMIL NADU,DINDIGUL,2011,18,50,3,45,0,117,233
TAMIL NADU,ERODE,2011,10,35,1,35,3,19,103
TAMIL NADU,KANCHIPURAM,2011,19,22,1,25,4,25,96
TAMIL NADU,KANYAKUMARI,2011,10,50,3,7,137,90,297
TAMIL NADU,KARUR,2011,8,56,1,21,3,22,111
TAMIL NADU,KRISHNAGIRI,2011,12,52,7,32,1,29,133
TAMIL NADU,MADURAI RURAL,2011,21,88,12,68,3,73,265
TAMIL NADU,MADURAI URBAN,2011,7,18,5,22,4,71,127
TAMIL NADU,NAGAPATTINAM,2011,13,32,5,40,27,12,129
TAMIL NADU,NAMAKKAL,2011,8,55,1,58,12,14,148
TAMIL NADU,NILGIRIS,2011,6,7,0,8,2,4,27
TAMIL NADU,PERAMBALUR,2011,7,25,1,18,0,3,54
TAMIL NADU,PUDUKOTTAI,2011,7,41,0,24,2,18,92
TAMIL NADU,RAMNATHAPURAM,2011,6,51,1,14,0,9,81
TAMIL NADU,SALEM RURAL,2011,35,100,4,108,0,51,298
TAMIL NADU,SALEM URBAN,2011,23,35,2,21,9,38,128
TAMIL NADU,SIVAGANGAI,2011,5,30,1,33,1,43,113
TAMIL NADU,THANJAVUR,2011,10,43,1,76,0,12,142
TAMIL NADU,THENI,2011,22,79,12,40,0,89,242
TAMIL NADU,THIRUNELVELI RURAL,2011,52,46,8,57,0,120,283
TAMIL NADU,THIRUNELVELI URBAN,2011,7,13,0,7,0,2,29
TAMIL NADU,THIRUVALLUR,2011,6,10,7,2,1,12,38
TAMIL NADU,THIRUVANNAMALAI,2011,24,59,3,11,0,11,108
TAMIL NADU,THIRUVARUR,2011,4,20,2,8,0,6,40
TAMIL NADU,THOOTHUGUDI,2011,29,35,4,2,0,40,110
TAMIL NADU,TIRUPPUR,2011,9,43,9,42,0,89,192
TAMIL NADU,TRICHY RLY.,2011,0,0,0,3,1,1,5
TAMIL NADU,TRICHY RURAL,2011,13,52,2,38,0,35,140
TAMIL NADU,TRICHY URBAN,2011,6,21,2,17,26,28,100
TAMIL NADU,VELLORE,2011,25,78,5,29,0,44,181
TAMIL NADU,VILLUPURAM,2011,86,187,7,274,0,140,694
TAMIL NADU,VIRUDHUNAGAR,2011,19,49,1,25,94,58,246
TAMIL NADU,TOTAL,2011,677,1743,152,1467,464,1812,6315
TRIPURA,DHALAI,2011,21,9,1,38,0,52,121
TRIPURA,GRP,2011,0,0,0,0,0,0,0
TRIPURA,NORTH,2011,40,27,1,50,1,172,291
TRIPURA,SOUTH,2011,58,24,5,84,1,181,353
TRIPURA,WEST,2011,86,56,23,122,7,297,591
TRIPURA,TOTAL,2011,205,116,30,294,9,702,1356
UTTAR PRADESH,AGRA,2011,76,328,87,196,0,341,1028
UTTAR PRADESH,ALIGARH,2011,66,265,73,194,0,256,854
UTTAR PRADESH,ALLAHABAD,2011,67,190,75,93,1,266,692
UTTAR PRADESH,AMBEDKAR NAGAR,2011,16,74,16,33,0,88,227
UTTAR PRADESH,AURAIYA,2011,15,73,25,14,0,26,153
UTTAR PRADESH,AZAMGARH,2011,28,101,27,27,0,49,232
UTTAR PRADESH,BADAUN,2011,18,115,48,62,0,59,302
UTTAR PRADESH,BAGHPAT,2011,12,74,17,35,0,106,244
UTTAR PRADESH,BAHRAICH,2011,57,128,62,49,0,55,351
UTTAR PRADESH,BALLIA,2011,7,64,17,21,0,27,136
UTTAR PRADESH,BALRAMPUR,2011,10,50,16,13,0,0,89
UTTAR PRADESH,BANDA,2011,26,48,29,56,0,31,190
UTTAR PRADESH,BARABANKI,2011,36,142,25,51,0,51,305
UTTAR PRADESH,BAREILLY,2011,34,193,63,92,0,155,537
UTTAR PRADESH,BASTI,2011,7,28,11,5,0,17,68
UTTAR PRADESH,BHIM NAGAR,2011,34,105,29,43,0,61,272
UTTAR PRADESH,BIJNOR,2011,39,118,30,14,0,238,439
UTTAR PRADESH,BULANDSHAHAR,2011,47,192,50,94,0,362,745
UTTAR PRADESH,CHANDOLI,2011,8,19,17,7,0,48,99
UTTAR PRADESH,CHITRAKOOT DHAM,2011,20,22,14,24,0,11,91
UTTAR PRADESH,CSM NAGAR,2011,20,96,17,40,0,53,226
UTTAR PRADESH,DEORIA,2011,8,53,27,12,0,24,124
UTTAR PRADESH,ETAH,2011,19,61,30,25,0,57,192
UTTAR PRADESH,ETAWAH,2011,13,73,42,28,0,52,208
UTTAR PRADESH,FAIZABAD,2011,27,114,11,56,0,21,229
UTTAR PRADESH,FATEHGARH,2011,16,83,25,35,0,59,218
UTTAR PRADESH,FATEHPUR,2011,40,92,45,55,0,45,277
UTTAR PRADESH,FIROZABAD,2011,32,144,43,57,0,83,359
UTTAR PRADESH,G.R.P.,2011,2,6,1,38,0,0,47
UTTAR PRADESH,GAUTAMBUDH NAGAR,2011,25,95,25,42,0,102,289
UTTAR PRADESH,GHAZIABAD,2011,22,219,47,59,0,255,602
UTTAR PRADESH,GHAZIPUR,2011,11,18,35,16,0,26,106
UTTAR PRADESH,GONDA,2011,34,116,27,29,0,6,212
UTTAR PRADESH,GORAKHPUR,2011,50,215,41,71,0,224,601
UTTAR PRADESH,HAMIRPUR,2011,12,38,15,33,0,20,118
UTTAR PRADESH,HARDOI,2011,24,123,32,55,0,72,306
UTTAR PRADESH,HATHRAS,2011,35,77,24,42,0,84,262
UTTAR PRADESH,J.P.NAGAR,2011,44,50,16,21,0,83,214
UTTAR PRADESH,JALAUN,2011,7,47,40,18,0,22,134
UTTAR PRADESH,JAUNPUR,2011,14,90,42,22,0,41,209
UTTAR PRADESH,JHANSI,2011,19,92,28,45,0,52,236
UTTAR PRADESH,KANNAUJ,2011,14,101,34,49,0,98,296
UTTAR PRADESH,KANPUR NAGAR,2011,71,303,69,140,2,284,869
UTTAR PRADESH,KANSHIRAM NAGAR,2011,22,47,22,33,0,21,145
UTTAR PRADESH,KAUSHAMBI,2011,23,40,22,36,0,31,152
UTTAR PRADESH,KHIRI,2011,35,132,57,76,0,57,357
UTTAR PRADESH,KUSHI NAGAR,2011,13,75,35,11,0,31,165
UTTAR PRADESH,LALITPUR,2011,15,30,14,52,0,26,137
UTTAR PRADESH,LUCKNOW,2011,55,283,48,142,0,511,1039
UTTAR PRADESH,MAHARAJGANJ,2011,18,42,26,15,0,12,113
UTTAR PRADESH,MAHOBA,2011,16,31,15,41,0,31,134
UTTAR PRADESH,MAINPURI,2011,33,92,34,52,0,52,263
UTTAR PRADESH,MATHURA,2011,39,123,36,76,0,226,500
UTTAR PRADESH,MAU,2011,19,60,7,31,0,64,181
UTTAR PRADESH,MEERUT,2011,79,271,36,99,0,400,885
UTTAR PRADESH,MIRZAPUR,2011,3,5,20,3,0,34,65
UTTAR PRADESH,MORADABAD,2011,55,174,30,48,0,210,517
UTTAR PRADESH,MUZAFFARNAGAR,2011,19,179,25,37,0,203,463
UTTAR PRADESH,PANCHSHIL NAGAR,2011,18,78,15,25,0,72,208
UTTAR PRADESH,PILIBHIT,2011,12,62,39,31,0,69,213
UTTAR PRADESH,PRABUDDH NAGAR,2011,11,52,10,13,0,83,169
UTTAR PRADESH,PRATAPGARH,2011,24,85,31,35,0,121,296
UTTAR PRADESH,RAIBAREILLY,2011,29,55,16,36,0,51,187
UTTAR PRADESH,RAMABAI NAGAR,2011,21,83,29,35,0,65,233
UTTAR PRADESH,RAMPUR,2011,43,98,26,27,0,86,280
UTTAR PRADESH,SAHARANPUR,2011,21,82,32,16,0,135,286
UTTAR PRADESH,SANT KABIRNAGAR,2011,17,48,6,12,0,19,102
UTTAR PRADESH,SHAHJAHANPUR,2011,40,130,47,54,0,28,299
UTTAR PRADESH,SHRAWASTI,2011,16,36,16,26,0,1,95
UTTAR PRADESH,SIDHARTHNAGAR,2011,9,42,17,21,0,29,118
UTTAR PRADESH,SITAPUR,2011,66,202,60,131,0,138,597
UTTAR PRADESH,SONBHADRA,2011,19,21,8,21,0,16,85
UTTAR PRADESH,ST.RAVIDASNAGAR,2011,2,6,11,3,0,10,32
UTTAR PRADESH,SULTANPUR,2011,21,46,14,23,0,58,162
UTTAR PRADESH,UNNAO,2011,36,104,30,66,0,85,321
UTTAR PRADESH,VARANASI,2011,11,76,41,17,0,136,281
UTTAR PRADESH,TOTAL,2011,2042,7525,2322,3455,3,7121,22468
UTTARAKHAND,ALMORA,2011,3,2,6,4,0,6,21
UTTARAKHAND,BAGESHWAR,2011,2,2,2,2,1,4,13
UTTARAKHAND,CHAMOLI,2011,2,1,0,2,0,2,7
UTTARAKHAND,CHAMPAWAT,2011,4,3,0,2,0,4,13
UTTARAKHAND,DEHRADUN,2011,31,47,10,16,38,101,243
UTTARAKHAND,HARIDWAR,2011,26,75,22,30,22,58,233
UTTARAKHAND,NAINITAL,2011,10,24,15,4,5,19,77
UTTARAKHAND,PAURI GARHWAL,2011,1,4,2,6,1,6,20
UTTARAKHAND,PITHORAGARH,2011,9,4,5,8,0,5,31
UTTARAKHAND,RUDRA PRAYAG,2011,3,4,3,6,3,6,25
UTTARAKHAND,TEHRI GARHWAL,2011,3,1,1,1,0,1,7
UTTARAKHAND,UDHAMSINGH NAGAR,2011,31,114,17,33,0,94,289
UTTARAKHAND,UTTARKASHI,2011,4,2,0,2,2,1,11
UTTARAKHAND,TOTAL,2011,129,283,83,116,72,307,990
WEST BENGAL,24 PARGANAS NORTH,2011,203,414,88,218,10,2847,3780
WEST BENGAL,24 PARGANAS SOUTH,2011,274,349,43,121,3,2793,3583
WEST BENGAL,ASANSOL,2011,31,50,10,30,7,461,589
WEST BENGAL,BANKURA,2011,44,36,16,83,1,195,375
WEST BENGAL,BIRBHUM,2011,44,51,25,63,0,337,520
WEST BENGAL,BURDWAN,2011,52,83,16,21,0,665,837
WEST BENGAL,COOCHBEHAR,2011,133,174,25,76,0,494,902
WEST BENGAL,DAKSHIN DINAJPUR,2011,55,111,11,77,5,283,542
WEST BENGAL,DARJEELING,2011,49,88,4,51,6,337,535
WEST BENGAL,HOOGHLY,2011,54,109,21,38,0,816,1038
WEST BENGAL,HOWRAH,2011,35,114,26,75,16,644,910
WEST BENGAL,HOWRAH CITY,2011,24,103,2,2,0,411,542
WEST BENGAL,HOWRAH G.R.P.,2011,1,6,0,5,0,1,13
WEST BENGAL,JALPAIGURI,2011,211,257,13,223,0,947,1651
WEST BENGAL,KHARAGPUR G.R.P.,2011,0,0,0,5,0,1,6
WEST BENGAL,KOLKATA,2011,46,116,11,254,144,557,1128
WEST BENGAL,MALDA,2011,179,202,14,38,0,762,1195
WEST BENGAL,MURSHIDABAD,2011,433,492,49,621,5,2956,4556
WEST BENGAL,NADIA,2011,185,453,65,128,2,1923,2756
WEST BENGAL,PASCHIM MIDNAPUR,2011,53,141,27,89,0,803,1113
WEST BENGAL,PURAB MIDNAPUR,2011,65,156,22,18,0,835,1096
WEST BENGAL,PURULIA,2011,65,52,3,64,0,197,381
WEST BENGAL,SEALDAH G.R.P.,2011,1,4,0,7,0,1,13
WEST BENGAL,SILIGURI G.R.P.,2011,0,1,0,4,0,0,5
WEST BENGAL,UTTAR DINAJPUR,2011,126,149,19,52,1,506,853
WEST BENGAL,TOTAL,2011,2363,3711,510,2363,200,19772,28919
A & N ISLANDS,ANDAMAN,2011,13,12,0,14,3,5,47
A & N ISLANDS,NICOBAR,2011,0,0,0,1,0,0,1
A & N ISLANDS,TOTAL,2011,13,12,0,15,3,5,48
CHANDIGARH,CHANDIGARH,2011,27,46,2,21,12,46,154
CHANDIGARH,TOTAL,2011,27,46,2,21,12,46,154
D & N HAVELI,D and N HAVELI,2011,4,8,0,2,0,3,17
D & N HAVELI,TOTAL,2011,4,8,0,2,0,3,17
DAMAN & DIU,DAMAN,2011,1,1,0,0,0,2,4
DAMAN & DIU,DIU,2011,0,1,0,0,0,0,1
DAMAN & DIU,TOTAL,2011,1,2,0,0,0,2,5
DELHI,CAW,2011,1,0,0,1,0,128,130
DELHI,CENTRAL,2011,16,89,3,32,4,29,173
DELHI,CRIME BRANCH,2011,1,0,0,0,0,0,1
DELHI,DELHI UT TOTAL,2011,572,2085,142,657,162,1575,5193
DELHI,EAST,2011,55,226,14,78,17,160,550
DELHI,EOW,2011,0,0,0,0,0,0,0
DELHI,GRP(RLY),2011,4,10,1,7,1,0,23
DELHI,IGI AIRPORT,2011,0,0,0,8,2,0,10
DELHI,NEW DELHI,2011,2,17,1,17,12,5,54
DELHI,NORTH,2011,11,84,4,15,10,88,212
DELHI,NORTH-EAST,2011,69,285,21,88,21,254,738
DELHI,NORTH-WEST,2011,58,177,10,48,13,117,423
DELHI,OUTER,2011,73,328,34,65,3,196,699
DELHI,SOUTH,2011,65,143,11,50,29,59,357
DELHI,SOUTH-EAST,2011,75,234,19,127,32,108,595
DELHI,SOUTH-WEST,2011,69,238,11,56,10,144,528
DELHI,STF,2011,0,0,0,0,0,0,0
DELHI,WEST,2011,73,254,13,65,8,287,700
LAKSHADWEEP,LAKSHADWEEP,2011,0,0,0,0,0,0,0
LAKSHADWEEP,TOTAL,2011,0,0,0,0,0,0,0
PUDUCHERRY,KARAIKAL,2011,0,0,0,10,4,1,15
PUDUCHERRY,PUDUCHERRY,2011,7,9,1,25,12,9,63
PUDUCHERRY,TOTAL,2011,7,9,1,35,16,10,78
ANDHRA PRADESH,ADILABAD,2012,88,61,7,90,155,498,899
ANDHRA PRADESH,ANANTAPUR,2012,18,63,19,195,8,130,433
ANDHRA PRADESH,CHITTOOR,2012,28,49,33,90,269,339,808
ANDHRA PRADESH,CUDDAPAH,2012,26,44,13,217,37,120,457
ANDHRA PRADESH,CYBERABAD,2012,75,102,45,183,282,976,1663
ANDHRA PRADESH,EAST GODAVARI,2012,71,40,17,248,160,536,1072
ANDHRA PRADESH,GUNTAKAL RLY.,2012,1,0,1,1,1,2,6
ANDHRA PRADESH,GUNTUR,2012,23,53,21,252,83,656,1088
ANDHRA PRADESH,GUNTUR URBAN,2012,24,32,9,84,83,687,919
ANDHRA PRADESH,HYDERABAD CITY,2012,74,31,23,145,141,1339,1753
ANDHRA PRADESH,KARIMNAGAR,2012,40,98,46,224,232,759,1399
ANDHRA PRADESH,KHAMMAM,2012,78,62,13,233,172,231,789
ANDHRA PRADESH,KRISHNA,2012,67,55,16,341,309,791,1579
ANDHRA PRADESH,KURNOOL,2012,22,46,15,331,75,166,655
ANDHRA PRADESH,MAHABOOBNAGAR,2012,56,70,27,154,45,204,556
ANDHRA PRADESH,MEDAK,2012,26,45,20,112,55,475,733
ANDHRA PRADESH,NALGONDA,2012,52,79,20,246,264,302,963
ANDHRA PRADESH,NELLORE,2012,23,72,9,210,142,405,861
ANDHRA PRADESH,NIZAMABAD,2012,35,23,19,100,102,596,875
ANDHRA PRADESH,PRAKASHAM,2012,37,69,16,213,47,263,645
ANDHRA PRADESH,RAJAHMUNDRY,2012,13,5,3,49,35,183,288
ANDHRA PRADESH,RANGA REDDY,2012,27,21,16,58,31,152,305
ANDHRA PRADESH,SECUNDERABAD RLY.,2012,2,0,0,5,5,0,12
ANDHRA PRADESH,SRIKAKULAM,2012,39,18,3,116,69,312,557
ANDHRA PRADESH,TIRUPATHI URBAN,2012,12,14,6,21,11,96,160
ANDHRA PRADESH,VIJAYAWADA CITY,2012,47,39,16,223,418,1136,1879
ANDHRA PRADESH,VIJAYAWADA RLY.,2012,0,3,0,5,6,1,15
ANDHRA PRADESH,VISAKHA RURAL,2012,27,13,9,67,20,134,270
ANDHRA PRADESH,VISAKHAPATNAM,2012,50,20,11,23,11,412,527
ANDHRA PRADESH,VIZIANAGARAM,2012,44,20,3,96,103,363,629
ANDHRA PRADESH,WARANGAL,2012,56,58,20,117,34,101,386
ANDHRA PRADESH,WARANGAL URBAN,2012,30,39,9,71,74,267,490
ANDHRA PRADESH,WEST GODAVARI,2012,130,59,19,296,235,757,1496
ANDHRA PRADESH,TOTAL,2012,1341,1403,504,4816,3714,13389,25167
ARUNACHAL PRADESH,ANJAW,2012,0,1,0,0,0,0,1
ARUNACHAL PRADESH,CHANGLANG,2012,6,7,1,5,0,4,23
ARUNACHAL PRADESH,DIBANG VALLEY,2012,2,4,0,2,0,1,9
ARUNACHAL PRADESH,K/KUMEY,2012,2,1,0,1,0,0,4
ARUNACHAL PRADESH,KAMENG EAST,2012,6,2,0,1,0,0,9
ARUNACHAL PRADESH,KAMENG WEST,2012,0,1,0,1,0,2,4
ARUNACHAL PRADESH,LOHIT,2012,3,5,0,11,0,2,21
ARUNACHAL PRADESH,PAPUM PARE,2012,7,15,0,8,2,3,35
ARUNACHAL PRADESH,RURAL,2012,6,3,0,8,0,1,18
ARUNACHAL PRADESH,SIANG EAST,2012,6,0,0,4,0,1,11
ARUNACHAL PRADESH,SIANG UPPER,2012,1,3,0,0,0,3,7
ARUNACHAL PRADESH,SIANG WEST,2012,2,4,0,6,0,7,19
ARUNACHAL PRADESH,SUBANSIRI LOWER,2012,0,2,0,5,0,2,9
ARUNACHAL PRADESH,SUBANSIRI UPPER,2012,4,4,0,11,0,0,19
ARUNACHAL PRADESH,TAWANG,2012,0,0,0,1,0,0,1
ARUNACHAL PRADESH,TIRAP,2012,1,6,0,2,0,0,9
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2012,0,0,0,1,0,0,1
ARUNACHAL PRADESH,TOTAL,2012,46,58,1,67,2,26,200
ASSAM,BAKSA,2012,33,50,3,4,0,15,105
ASSAM,BARPETA,2012,98,224,5,67,0,638,1032
ASSAM,BIEO,2012,0,0,0,0,0,0,0
ASSAM,BONGAIGAON,2012,50,59,6,15,0,169,299
ASSAM,C.I.D.,2012,4,1,0,0,0,0,5
ASSAM,CACHAR,2012,94,163,19,11,0,551,838
ASSAM,CHIRANG,2012,24,30,0,11,0,78,143
ASSAM,DARRANG,2012,88,168,9,246,0,387,898
ASSAM,DHEMAJI,2012,74,61,2,17,0,82,236
ASSAM,DHUBRI,2012,159,305,13,218,1,729,1425
ASSAM,DIBRUGARH,2012,50,75,0,138,0,316,579
ASSAM,G.R.P.,2012,3,3,2,3,1,10,22
ASSAM,GOALPARA,2012,65,68,3,97,0,323,556
ASSAM,GOLAGHAT,2012,60,154,1,72,0,226,513
ASSAM,GUWAHATI CITY,2012,78,326,9,90,0,237,740
ASSAM,HAILAKANDI,2012,56,65,6,52,0,125,304
ASSAM,HAMREN,2012,3,12,0,2,0,3,20
ASSAM,JORHAT,2012,42,95,1,53,0,254,445
ASSAM,KAMRUP,2012,54,107,5,70,0,172,408
ASSAM,KARBI ANGLONG,2012,28,50,0,4,0,30,112
ASSAM,KARIMGANJ,2012,32,85,11,4,0,262,394
ASSAM,KOKRAJHAR,2012,27,65,3,31,0,84,210
ASSAM,LAKHIMPUR,2012,62,97,0,25,0,19,203
ASSAM,MORIGAON,2012,58,88,4,25,0,115,290
ASSAM,N.C.HILLS,2012,5,13,0,0,0,0,18
ASSAM,NAGAON,2012,173,348,10,245,3,875,1654
ASSAM,NALBARI,2012,34,89,3,83,0,131,340
ASSAM,R.P.O.,2012,0,6,0,0,0,0,6
ASSAM,SIBSAGAR,2012,78,153,5,134,0,269,639
ASSAM,SONITPUR,2012,97,220,11,39,0,124,491
ASSAM,TINSUKIA,2012,64,142,1,43,0,137,387
ASSAM,UDALGURI,2012,23,38,8,41,0,46,156
ASSAM,TOTAL,2012,1716,3360,140,1840,5,6407,13468
BIHAR,ARARIA,2012,53,78,21,8,7,32,199
BIHAR,ARWAL,2012,5,24,13,0,0,22,64
BIHAR,AURANGABAD,2012,22,58,27,2,0,110,219
BIHAR,BAGAHA,2012,11,69,9,0,0,37,126
BIHAR,BANKA,2012,17,45,17,0,0,37,116
BIHAR,BEGUSARAI,2012,11,113,27,0,0,79,230
BIHAR,BETTIAH,2012,35,141,28,0,0,20,224
BIHAR,BHABHUA,2012,10,38,21,0,0,42,111
BIHAR,BHAGALPUR,2012,31,106,24,0,4,119,284
BIHAR,BHOJPUR,2012,9,69,38,0,0,56,172
BIHAR,BUXAR,2012,21,70,28,29,0,86,234
BIHAR,DARBHANGA,2012,44,150,34,0,1,377,606
BIHAR,GAYA,2012,35,120,53,0,0,92,300
BIHAR,GOPALGANJ,2012,20,89,43,0,0,190,342
BIHAR,JAMALPUR RLY.,2012,1,0,0,0,0,0,1
BIHAR,JAMUI,2012,27,43,18,2,0,65,155
BIHAR,JEHANABAD,2012,8,41,24,0,0,37,110
BIHAR,KATIHAR,2012,73,112,24,1,1,111,322
BIHAR,KATIHAR RLY.,2012,0,6,0,1,0,1,8
BIHAR,KHAGARIA,2012,18,34,12,0,0,41,105
BIHAR,KISHANGANJ,2012,32,71,19,0,0,50,172
BIHAR,LAKHISARAI,2012,13,28,10,3,0,55,109
BIHAR,MADHEPURA,2012,31,56,15,0,2,46,150
BIHAR,MADHUBANI,2012,31,163,27,0,0,195,416
BIHAR,MOTIHARI,2012,22,198,67,0,16,156,459
BIHAR,MUNGER,2012,9,49,8,1,0,40,107
BIHAR,MUZAFFARPUR,2012,34,220,83,0,0,80,417
BIHAR,MUZAFFARPUR RLY.,2012,2,0,0,0,0,0,2
BIHAR,NALANDA,2012,11,85,79,7,1,116,299
BIHAR,NAUGACHIA,2012,2,18,10,0,0,64,94
BIHAR,NAWADAH,2012,18,57,29,0,0,13,117
BIHAR,PATNA,2012,49,300,97,19,1,377,843
BIHAR,PATNA RLY.,2012,2,5,3,16,0,2,28
BIHAR,PURNEA,2012,39,95,17,8,4,0,163
BIHAR,ROHTAS,2012,26,94,44,15,0,92,271
BIHAR,SAHARSA,2012,16,76,10,0,0,72,174
BIHAR,SAMASTIPUR,2012,24,112,34,0,0,114,284
BIHAR,SARAN,2012,23,137,74,0,0,138,372
BIHAR,SHEIKHPURA,2012,10,27,8,0,0,37,82
